C020_20180514_100234_R_CASIA2_LGC_054.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_040.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_044.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_006.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_074.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_014.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_126.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_038.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_018.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_028.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_122.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_090.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_056.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_098.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_118.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_050.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_116.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_016.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_070.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_062.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_020.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_024.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_064.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_092.jpg:  tensor(1, device='cuda:0')
C020_20180514_100234_R_CASIA2_LGC_106.jpg:  tensor(1, device='cuda:0')
